# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/j8hwang/lab5/tagdirs/Oct4
#
# total peaks = 2203
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1733716.0
# Total tags in peaks = 45928.0
# Approximate IP efficiency = 2.65%
# tags per bp = 0.000795
# expected tags per peak = 0.060
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.024429e-07
# FDR tag threshold = 4.0
# number of putative peaks = 95516
#
# input tag directory = /home/j8hwang/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 90247
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3065
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/j8hwang/lab5/tagdirs/Oct4 -i /home/j8hwang/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-14	17	50427862	50427936	+	2532.1	0.831	77.000000	445.8	5.0	89.16	0.00e+00	63.81	0.00e+00	1.00
17-10	17	35504036	35504110	+	2382.2	0.798	77.000000	410.0	8.0	51.25	0.00e+00	48.33	0.00e+00	0.98
17-20	17	53561837	53561911	+	2036.1	0.721	75.000000	350.5	5.0	70.09	0.00e+00	40.83	0.00e+00	1.00
17-9	17	37079138	37079212	+	1563.1	0.805	78.000000	275.0	9.0	30.56	3.30e-295	37.01	7.88e-313	0.94
17-22	17	48616423	48616497	+	1447.8	0.864	74.000000	249.2	1.0	249.20	0.00e+00	50.18	1.72e-318	0.98
17-15	17	37990731	37990805	+	1418.9	0.697	76.000000	244.2	3.0	81.41	0.00e+00	51.91	6.55e-317	0.95
17-24	17	55952129	55952203	+	1234.3	0.708	72.000000	212.5	2.0	106.23	0.00e+00	42.84	9.84e-261	0.97
17-26	17	29187373	29187447	+	1170.9	0.737	71.000000	201.5	4.0	50.39	1.22e-258	44.48	3.23e-248	1.00
17-21	17	62109220	62109294	+	1165.1	0.777	75.000000	203.5	1.0	203.53	0.00e+00	59.27	3.88e-274	0.93
17-29	17	80635942	80636016	+	1090.1	0.693	68.000000	187.6	5.0	37.53	2.46e-217	42.24	3.59e-228	1.02
17-23	17	15208257	15208331	+	1084.4	0.723	72.000000	186.7	2.0	93.33	1.75e-288	38.34	3.90e-218	0.95
17-25	17	15380783	15380857	+	1049.8	0.699	71.000000	180.7	2.0	90.35	1.04e-276	27.40	1.23e-182	0.95
17-30	17	66479847	66479921	+	934.4	0.775	66.000000	161.8	9.0	17.98	7.39e-138	19.33	1.32e-138	0.98
17-33	17	70828320	70828394	+	894.0	0.786	64.000000	158.9	4.0	39.71	1.35e-187	23.25	1.16e-147	1.02
17-43	17	31057345	31057419	+	813.3	0.712	60.000000	142.0	5.0	28.39	1.32e-147	40.04	1.95e-168	1.08
17-32	17	90788253	90788327	+	801.7	0.723	66.000000	138.0	3.0	46.00	5.12e-173	37.65	5.43e-159	0.95
17-34	17	82306494	82306568	+	749.8	0.676	63.000000	131.1	4.0	32.76	1.65e-145	42.11	2.06e-153	0.95
17-40	17	47503869	47503943	+	721.0	0.626	61.000000	125.1	7.0	17.87	2.22e-107	21.59	3.04e-116	0.99
17-31	17	76111967	76112041	+	703.7	0.788	66.000000	121.1	4.0	30.28	1.65e-130	41.92	3.60e-147	0.89
17-39	17	29399385	29399459	+	686.4	0.704	61.000000	119.1	4.0	29.78	1.50e-127	29.15	2.38e-122	0.96
17-41	17	63176606	63176680	+	686.4	0.700	61.000000	120.1	3.0	40.04	1.37e-143	35.65	1.74e-135	0.97
17-42	17	75089454	75089528	+	674.9	0.687	61.000000	116.2	1.0	116.16	1.09e-191	36.46	2.53e-134	0.96
17-36	17	34340798	34340872	+	651.8	0.686	62.000000	112.2	3.0	37.40	7.09e-131	35.63	1.16e-128	0.92
17-44	17	83469751	83469825	+	651.8	0.763	59.000000	112.2	4.0	28.05	2.59e-117	25.42	8.64e-113	0.96
17-58	17	23601396	23601470	+	640.2	0.750	54.000000	111.2	4.0	27.80	7.26e-116	14.22	2.95e-82	1.06
17-48	17	14693380	14693454	+	634.5	0.670	57.000000	109.2	4.0	27.30	5.55e-113	34.41	8.66e-125	0.99
17-50	17	35165521	35165595	+	634.5	0.671	56.000000	109.2	5.0	21.84	7.53e-103	20.74	1.06e-99	1.00
17-49	17	15678013	15678087	+	628.7	0.745	56.000000	109.2	3.0	36.40	3.60e-126	27.53	1.91e-113	1.00
17-37	17	35939287	35939361	+	628.7	0.705	62.000000	108.2	4.0	27.05	1.51e-111	29.08	7.50e-114	0.90
17-38	17	25680022	25680096	+	622.9	0.724	61.000000	108.2	4.0	27.05	1.51e-111	35.58	6.11e-123	0.91
17-45	17	47571834	47571908	+	617.2	0.617	58.000000	106.2	8.0	13.28	1.69e-78	23.33	5.26e-104	0.96
17-47	17	85799361	85799435	+	571.0	0.537	58.000000	99.3	3.0	33.09	9.45e-111	26.96	2.42e-102	0.92
17-46	17	79654412	79654486	+	559.5	0.753	58.000000	97.3	2.0	48.65	2.28e-124	29.20	1.61e-102	0.91
17-60	17	83522761	83522835	+	553.7	0.756	54.000000	95.3	3.0	31.77	1.06e-104	15.79	2.69e-77	0.99
17-53	17	32295934	32296008	+	548.0	0.678	55.000000	94.3	1.0	94.32	3.42e-147	26.75	5.63e-98	0.94
17-71	17	87471769	87471843	+	548.0	0.642	52.000000	95.3	8.0	11.91	2.20e-66	19.24	1.32e-80	1.00
17-52	17	87558611	87558685	+	542.2	0.696	56.000000	93.3	3.0	31.11	1.05e-101	28.66	1.10e-99	0.93
17-96	17	64053784	64053858	+	536.4	0.651	47.000000	93.3	4.0	23.33	1.62e-90	42.29	6.59e-114	1.11
17-51	17	46812637	46812711	+	530.7	0.776	56.000000	93.3	1.0	93.33	3.21e-145	13.60	2.37e-69	0.94
17-55	17	82274119	82274193	+	524.9	0.827	55.000000	91.3	1.0	91.34	2.75e-141	20.57	4.37e-83	0.93
17-61	17	94648030	94648104	+	519.1	0.829	54.000000	89.4	3.0	29.78	9.08e-96	22.82	5.07e-86	0.96
17-35	17	26537935	26538009	+	507.6	0.837	62.000000	88.4	4.0	22.09	9.90e-84	24.41	1.54e-87	0.81
17-69	17	29405671	29405745	+	507.6	0.686	52.000000	89.4	4.0	22.34	4.45e-85	25.56	2.98e-86	0.97
17-87	17	70866758	70866832	+	501.8	0.592	49.000000	86.4	9.0	9.60	6.60e-53	12.94	1.61e-62	1.01
17-66	17	75557259	75557333	+	501.8	0.787	53.000000	87.4	1.0	87.37	1.77e-133	35.87	1.30e-100	0.94
17-63	17	11353281	11353355	+	496.0	0.707	53.000000	86.4	2.0	43.19	4.42e-106	25.98	7.91e-88	0.95
